"year","month","day","start","end","length","city"
2016,4,"8","6:22 ↑ (78°)","19:35 ↑ (282°)","13:12:55","odesa"
2016,4,"9","6:20 ↑ (78°)","19:37 ↑ (282°)","13:16:09","odesa"
2016,4,"10","6:19 ↑ (77°)","19:38 ↑ (283°)","13:19:23","odesa"
2016,4,"11","6:17 ↑ (77°)","19:39 ↑ (284°)","13:22:36","odesa"
2016,4,"12","6:15 ↑ (76°)","19:41 ↑ (284°)","13:25:49","odesa"
2016,4,"13","6:13 ↑ (76°)","19:42 ↑ (285°)","13:29:01","odesa"
2016,4,"14","6:11 ↑ (75°)","19:43 ↑ (285°)","13:32:13","odesa"
2016,4,"15","6:09 ↑ (75°)","19:45 ↑ (286°)","13:35:24","odesa"
2016,4,"16","6:07 ↑ (74°)","19:46 ↑ (286°)","13:38:33","odesa"
2016,4,"17","6:06 ↑ (74°)","19:47 ↑ (287°)","13:41:42","odesa"
2016,4,"18","6:04 ↑ (73°)","19:49 ↑ (287°)","13:44:50","odesa"
2016,4,"19","6:02 ↑ (73°)","19:50 ↑ (288°)","13:47:57","odesa"
2016,4,"20","6:00 ↑ (72°)","19:51 ↑ (288°)","13:51:04","odesa"
2016,4,"21","5:59 ↑ (72°)","19:53 ↑ (289°)","13:54:09","odesa"
2016,4,"22","5:57 ↑ (71°)","19:54 ↑ (289°)","13:57:14","odesa"
2016,4,"23","5:55 ↑ (71°)","19:55 ↑ (290°)","14:00:17","odesa"
2016,4,"24","5:53 ↑ (70°)","19:57 ↑ (290°)","14:03:19","odesa"
2016,4,"25","5:52 ↑ (70°)","19:58 ↑ (291°)","14:06:21","odesa"
2016,4,"26","5:50 ↑ (69°)","19:59 ↑ (291°)","14:09:21","odesa"
2016,4,"27","5:48 ↑ (69°)","20:01 ↑ (292°)","14:12:19","odesa"
2016,4,"28","5:47 ↑ (68°)","20:02 ↑ (292°)","14:15:17","odesa"
2016,4,"29","5:45 ↑ (68°)","20:03 ↑ (293°)","14:18:13","odesa"
2016,4,"30","5:44 ↑ (67°)","20:05 ↑ (293°)","14:21:07","odesa"
2016,5,"1","5:42 ↑ (67°)","20:06 ↑ (294°)","14:24:01","odesa"
2016,5,"2","5:40 ↑ (66°)","20:07 ↑ (294°)","14:26:53","odesa"
2016,5,"3","5:39 ↑ (66°)","20:09 ↑ (294°)","14:29:43","odesa"
2016,5,"4","5:37 ↑ (65°)","20:10 ↑ (295°)","14:32:31","odesa"
2016,5,"5","5:36 ↑ (65°)","20:11 ↑ (295°)","14:35:17","odesa"
2016,5,"6","5:35 ↑ (64°)","20:13 ↑ (296°)","14:38:02","odesa"
2016,5,"7","5:33 ↑ (64°)","20:14 ↑ (296°)","14:40:46","odesa"
2016,5,"8","5:32 ↑ (64°)","20:15 ↑ (297°)","14:43:27","odesa"
2016,5,"9","5:30 ↑ (63°)","20:16 ↑ (297°)","14:46:05","odesa"
2016,5,"10","5:29 ↑ (63°)","20:18 ↑ (297°)","14:48:42","odesa"
2016,5,"11","5:28 ↑ (62°)","20:19 ↑ (298°)","14:51:17","odesa"
2016,5,"12","5:26 ↑ (62°)","20:20 ↑ (298°)","14:53:49","odesa"
2016,5,"13","5:25 ↑ (62°)","20:21 ↑ (299°)","14:56:19","odesa"
2016,5,"14","5:24 ↑ (61°)","20:23 ↑ (299°)","14:58:47","odesa"
2016,5,"15","5:23 ↑ (61°)","20:24 ↑ (299°)","15:01:11","odesa"
2016,5,"16","5:22 ↑ (61°)","20:25 ↑ (300°)","15:03:35","odesa"
2016,5,"17","5:20 ↑ (60°)","20:26 ↑ (300°)","15:05:54","odesa"
2016,5,"18","5:19 ↑ (60°)","20:27 ↑ (300°)","15:08:11","odesa"
2016,5,"19","5:18 ↑ (59°)","20:29 ↑ (301°)","15:10:25","odesa"
2016,5,"20","5:17 ↑ (59°)","20:30 ↑ (301°)","15:12:36","odesa"
2016,5,"21","5:16 ↑ (59°)","20:31 ↑ (301°)","15:14:45","odesa"
2016,5,"22","5:15 ↑ (58°)","20:32 ↑ (302°)","15:16:50","odesa"
2016,5,"23","5:14 ↑ (58°)","20:33 ↑ (302°)","15:18:52","odesa"
2016,5,"24","5:13 ↑ (58°)","20:34 ↑ (302°)","15:20:50","odesa"
2016,5,"25","5:12 ↑ (58°)","20:35 ↑ (303°)","15:22:47","odesa"
2016,5,"26","5:12 ↑ (57°)","20:36 ↑ (303°)","15:24:39","odesa"
2016,5,"27","5:11 ↑ (57°)","20:37 ↑ (303°)","15:26:27","odesa"
2016,5,"28","5:10 ↑ (57°)","20:38 ↑ (303°)","15:28:12","odesa"
2016,5,"29","5:09 ↑ (57°)","20:39 ↑ (304°)","15:29:53","odesa"
2016,5,"30","5:09 ↑ (56°)","20:40 ↑ (304°)","15:31:30","odesa"
2016,5,"31","5:08 ↑ (56°)","20:41 ↑ (304°)","15:33:04","odesa"
2016,6,"1","5:07 ↑ (56°)","20:42 ↑ (304°)","15:34:34","odesa"
2016,6,"2","5:07 ↑ (56°)","20:43 ↑ (305°)","15:36:00","odesa"
2016,6,"3","5:06 ↑ (55°)","20:44 ↑ (305°)","15:37:22","odesa"
2016,6,"4","5:06 ↑ (55°)","20:44 ↑ (305°)","15:38:39","odesa"
2016,6,"5","5:05 ↑ (55°)","20:45 ↑ (305°)","15:39:53","odesa"
2016,6,"6","5:05 ↑ (55°)","20:46 ↑ (305°)","15:41:02","odesa"
2016,6,"7","5:05 ↑ (55°)","20:47 ↑ (305°)","15:42:07","odesa"
2016,6,"8","5:04 ↑ (55°)","20:47 ↑ (306°)","15:43:07","odesa"
2016,6,"9","5:04 ↑ (54°)","20:48 ↑ (306°)","15:44:03","odesa"
2016,6,"10","5:04 ↑ (54°)","20:49 ↑ (306°)","15:44:56","odesa"
2016,6,"11","5:04 ↑ (54°)","20:49 ↑ (306°)","15:45:43","odesa"
2016,6,"12","5:03 ↑ (54°)","20:50 ↑ (306°)","15:46:24","odesa"
