"year","month","day","start","end","length","city"
2016,6,"2","4:44 ↑ (55°)","20:31 ↑ (306°)","15:47:07","zaporizhia"
2016,6,"3","4:43 ↑ (54°)","20:32 ↑ (306°)","15:48:34","zaporizhia"
2016,6,"4","4:43 ↑ (54°)","20:33 ↑ (306°)","15:49:56","zaporizhia"
2016,6,"5","4:42 ↑ (54°)","20:33 ↑ (306°)","15:51:14","zaporizhia"
2016,6,"6","4:42 ↑ (54°)","20:34 ↑ (306°)","15:52:28","zaporizhia"
2016,6,"7","4:41 ↑ (54°)","20:35 ↑ (306°)","15:53:37","zaporizhia"
2016,6,"8","4:41 ↑ (53°)","20:36 ↑ (307°)","15:54:41","zaporizhia"
2016,6,"9","4:41 ↑ (53°)","20:36 ↑ (307°)","15:55:41","zaporizhia"
2016,6,"10","4:40 ↑ (53°)","20:37 ↑ (307°)","15:56:36","zaporizhia"
2016,6,"11","4:40 ↑ (53°)","20:38 ↑ (307°)","15:57:26","zaporizhia"
2016,6,"12","4:40 ↑ (53°)","20:38 ↑ (307°)","15:58:12","zaporizhia"
2016,6,"13","4:40 ↑ (53°)","20:39 ↑ (307°)","15:58:52","zaporizhia"
2016,6,"14","4:40 ↑ (53°)","20:39 ↑ (307°)","15:59:27","zaporizhia"
2016,6,"15","4:40 ↑ (53°)","20:40 ↑ (307°)","15:59:57","zaporizhia"
2016,6,"16","4:40 ↑ (53°)","20:40 ↑ (307°)","16:00:23","zaporizhia"
2016,6,"17","4:40 ↑ (53°)","20:40 ↑ (307°)","16:00:43","zaporizhia"
2016,6,"18","4:40 ↑ (53°)","20:41 ↑ (307°)","16:00:59","zaporizhia"
2016,6,"19","4:40 ↑ (53°)","20:41 ↑ (307°)","16:01:09","zaporizhia"
2016,6,"20","4:40 ↑ (53°)","20:41 ↑ (307°)","16:01:14","zaporizhia"
2016,6,"21","4:40 ↑ (53°)","20:41 ↑ (307°)","16:01:14","zaporizhia"
2016,6,"22","4:40 ↑ (53°)","20:42 ↑ (307°)","16:01:10","zaporizhia"
2016,6,"23","4:41 ↑ (53°)","20:42 ↑ (307°)","16:01:00","zaporizhia"
2016,6,"24","4:41 ↑ (53°)","20:42 ↑ (307°)","16:00:44","zaporizhia"
