"year","month","day","start","end","length","city"
2016,4,"1","6:17 ↑ (82°)","19:10 ↑ (278°)","12:53:17","dnipro"
2016,4,"2","6:15 ↑ (81°)","19:12 ↑ (279°)","12:56:49","dnipro"
2016,4,"3","6:13 ↑ (81°)","19:13 ↑ (279°)","13:00:20","dnipro"
2016,4,"4","6:11 ↑ (80°)","19:15 ↑ (280°)","13:03:51","dnipro"
2016,4,"5","6:09 ↑ (80°)","19:16 ↑ (281°)","13:07:22","dnipro"
2016,4,"6","6:07 ↑ (79°)","19:18 ↑ (281°)","13:10:52","dnipro"
2016,4,"7","6:05 ↑ (79°)","19:19 ↑ (282°)","13:14:21","dnipro"
2016,4,"8","6:03 ↑ (78°)","19:20 ↑ (282°)","13:17:51","dnipro"
2016,4,"9","6:01 ↑ (77°)","19:22 ↑ (283°)","13:21:19","dnipro"
2016,4,"10","5:59 ↑ (77°)","19:23 ↑ (284°)","13:24:48","dnipro"
2016,4,"11","5:57 ↑ (76°)","19:25 ↑ (284°)","13:28:16","dnipro"
2016,4,"12","5:55 ↑ (76°)","19:26 ↑ (285°)","13:31:43","dnipro"
2016,4,"13","5:53 ↑ (75°)","19:28 ↑ (285°)","13:35:09","dnipro"
2016,4,"14","5:51 ↑ (75°)","19:29 ↑ (286°)","13:38:34","dnipro"
2016,4,"15","5:49 ↑ (74°)","19:31 ↑ (286°)","13:41:59","dnipro"
2016,4,"16","5:47 ↑ (73°)","19:32 ↑ (287°)","13:45:24","dnipro"
2016,4,"17","5:45 ↑ (73°)","19:34 ↑ (287°)","13:48:46","dnipro"
2016,4,"18","5:43 ↑ (72°)","19:35 ↑ (288°)","13:52:09","dnipro"
2016,4,"19","5:41 ↑ (72°)","19:37 ↑ (288°)","13:55:31","dnipro"
2016,4,"20","5:39 ↑ (71°)","19:38 ↑ (289°)","13:58:52","dnipro"
2016,4,"21","5:37 ↑ (71°)","19:40 ↑ (290°)","14:02:11","dnipro"
2016,4,"22","5:35 ↑ (70°)","19:41 ↑ (290°)","14:05:30","dnipro"
2016,4,"23","5:34 ↑ (70°)","19:42 ↑ (291°)","14:08:47","dnipro"
2016,4,"24","5:32 ↑ (69°)","19:44 ↑ (291°)","14:12:03","dnipro"
2016,4,"25","5:30 ↑ (69°)","19:45 ↑ (292°)","14:15:19","dnipro"
2016,4,"26","5:28 ↑ (68°)","19:47 ↑ (292°)","14:18:33","dnipro"
2016,4,"27","5:26 ↑ (68°)","19:48 ↑ (293°)","14:21:46","dnipro"
2016,4,"28","5:25 ↑ (67°)","19:50 ↑ (293°)","14:24:56","dnipro"
2016,4,"29","5:23 ↑ (67°)","19:51 ↑ (294°)","14:28:07","dnipro"
2016,4,"30","5:21 ↑ (66°)","19:53 ↑ (294°)","14:31:15","dnipro"
2016,5,"1","5:20 ↑ (66°)","19:54 ↑ (295°)","14:34:23","dnipro"
2016,5,"2","5:18 ↑ (65°)","19:55 ↑ (295°)","14:37:28","dnipro"
2016,5,"3","5:16 ↑ (65°)","19:57 ↑ (296°)","14:40:31","dnipro"
2016,5,"4","5:15 ↑ (64°)","19:58 ↑ (296°)","14:43:33","dnipro"
2016,5,"5","5:13 ↑ (64°)","20:00 ↑ (296°)","14:46:33","dnipro"
2016,5,"6","5:12 ↑ (63°)","20:01 ↑ (297°)","14:49:32","dnipro"
2016,5,"7","5:10 ↑ (63°)","20:03 ↑ (297°)","14:52:28","dnipro"
2016,5,"8","5:09 ↑ (63°)","20:04 ↑ (298°)","14:55:23","dnipro"
2016,5,"9","5:07 ↑ (62°)","20:05 ↑ (298°)","14:58:15","dnipro"
2016,5,"10","5:06 ↑ (62°)","20:07 ↑ (299°)","15:01:05","dnipro"
2016,5,"11","5:04 ↑ (61°)","20:08 ↑ (299°)","15:03:51","dnipro"
2016,5,"12","5:03 ↑ (61°)","20:09 ↑ (299°)","15:06:37","dnipro"
2016,5,"13","5:01 ↑ (60°)","20:11 ↑ (300°)","15:09:19","dnipro"
2016,5,"14","5:00 ↑ (60°)","20:12 ↑ (300°)","15:12:00","dnipro"
2016,5,"15","4:59 ↑ (60°)","20:13 ↑ (301°)","15:14:37","dnipro"
2016,5,"16","4:57 ↑ (59°)","20:15 ↑ (301°)","15:17:12","dnipro"
2016,5,"17","4:56 ↑ (59°)","20:16 ↑ (301°)","15:19:44","dnipro"
2016,5,"18","4:55 ↑ (58°)","20:17 ↑ (302°)","15:22:13","dnipro"
2016,5,"19","4:54 ↑ (58°)","20:19 ↑ (302°)","15:24:38","dnipro"
2016,5,"20","4:53 ↑ (58°)","20:20 ↑ (302°)","15:27:02","dnipro"
2016,5,"21","4:52 ↑ (57°)","20:21 ↑ (303°)","15:29:21","dnipro"
2016,5,"22","4:51 ↑ (57°)","20:22 ↑ (303°)","15:31:37","dnipro"
2016,5,"23","4:50 ↑ (57°)","20:23 ↑ (303°)","15:33:50","dnipro"
2016,5,"24","4:49 ↑ (56°)","20:25 ↑ (304°)","15:35:59","dnipro"
2016,5,"25","4:48 ↑ (56°)","20:26 ↑ (304°)","15:38:06","dnipro"
2016,5,"26","4:47 ↑ (56°)","20:27 ↑ (304°)","15:40:08","dnipro"
2016,5,"27","4:46 ↑ (56°)","20:28 ↑ (305°)","15:42:06","dnipro"
2016,5,"28","4:45 ↑ (55°)","20:29 ↑ (305°)","15:44:00","dnipro"
2016,5,"29","4:44 ↑ (55°)","20:30 ↑ (305°)","15:45:51","dnipro"
2016,5,"30","4:43 ↑ (55°)","20:31 ↑ (305°)","15:47:37","dnipro"
2016,5,"31","4:43 ↑ (55°)","20:32 ↑ (306°)","15:49:19","dnipro"
2016,6,"1","4:42 ↑ (54°)","20:33 ↑ (306°)","15:50:58","dnipro"
2016,6,"2","4:41 ↑ (54°)","20:34 ↑ (306°)","15:52:31","dnipro"
2016,6,"3","4:41 ↑ (54°)","20:35 ↑ (306°)","15:54:00","dnipro"
2016,6,"4","4:40 ↑ (54°)","20:36 ↑ (306°)","15:55:25","dnipro"
2016,6,"5","4:40 ↑ (53°)","20:36 ↑ (307°)","15:56:46","dnipro"
2016,6,"6","4:39 ↑ (53°)","20:37 ↑ (307°)","15:58:02","dnipro"
2016,6,"7","4:39 ↑ (53°)","20:38 ↑ (307°)","15:59:13","dnipro"
2016,6,"8","4:38 ↑ (53°)","20:39 ↑ (307°)","16:00:19","dnipro"
2016,6,"9","4:38 ↑ (53°)","20:39 ↑ (307°)","16:01:20","dnipro"
2016,6,"10","4:38 ↑ (53°)","20:40 ↑ (307°)","16:02:17","dnipro"
2016,6,"11","4:38 ↑ (53°)","20:41 ↑ (308°)","16:03:08","dnipro"
2016,6,"12","4:37 ↑ (52°)","20:41 ↑ (308°)","16:03:55","dnipro"
2016,6,"13","4:37 ↑ (52°)","20:42 ↑ (308°)","16:04:36","dnipro"
2016,6,"14","4:37 ↑ (52°)","20:42 ↑ (308°)","16:05:13","dnipro"
2016,6,"15","4:37 ↑ (52°)","20:43 ↑ (308°)","16:05:44","dnipro"
2016,6,"16","4:37 ↑ (52°)","20:43 ↑ (308°)","16:06:10","dnipro"
2016,6,"17","4:37 ↑ (52°)","20:44 ↑ (308°)","16:06:31","dnipro"
2016,6,"18","4:37 ↑ (52°)","20:44 ↑ (308°)","16:06:47","dnipro"
2016,6,"19","4:37 ↑ (52°)","20:44 ↑ (308°)","16:06:58","dnipro"
2016,6,"20","4:37 ↑ (52°)","20:44 ↑ (308°)","16:07:03","dnipro"
2016,6,"21","4:38 ↑ (52°)","20:45 ↑ (308°)","16:07:03","dnipro"
2016,6,"22","4:38 ↑ (52°)","20:45 ↑ (308°)","16:06:58","dnipro"
2016,6,"23","4:38 ↑ (52°)","20:45 ↑ (308°)","16:06:48","dnipro"
